epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3945.82,0.63605,0.44964,0.95008,0.67958,0.81709,0.7975,0.59328,0.78367,0.58102,0.89992,0.000228453,0.000228453,0.000228453
43,3994.72,0.63455,0.44592,0.94973,0.68678,0.82174,0.80145,0.59322,0.77732,0.58611,0.89209,0.000206901,0.000206901,0.000206901
44,4040.72,0.62602,0.44152,0.94522,0.68238,0.81214,0.79095,0.58887,0.77463,0.58562,0.89462,0.000186154,0.000186154,0.000186154
45,4086.88,0.62182,0.43979,0.94374,0.66973,0.83236,0.79002,0.58513,0.76903,0.58133,0.89051,0.000166269,0.000166269,0.000166269
46,4133.98,0.61932,0.43551,0.94386,0.67044,0.82445,0.79052,0.58993,0.77062,0.57668,0.88946,0.0001473,0.0001473,0.0001473
47,4180.47,0.62081,0.43287,0.94142,0.68125,0.82278,0.79208,0.58314,0.76928,0.57569,0.89182,0.000129299,0.000129299,0.000129299
48,4226.31,0.61471,0.42994,0.94133,0.67244,0.81038,0.79533,0.58666,0.77331,0.58126,0.89203,0.000112316,0.000112316,0.000112316
49,4272.25,0.6116,0.42639,0.94127,0.68514,0.8216,0.79652,0.5983,0.77148,0.5816,0.89059,9.6396e-05,9.6396e-05,9.6396e-05
50,4318.02,0.60586,0.422,0.93774,0.683,0.82758,0.79367,0.58761,0.77249,0.58466,0.89457,8.15841e-05,8.15841e-05,8.15841e-05
51,4373.71,0.58022,0.39344,0.9278,0.70281,0.80191,0.79583,0.59342,0.77228,0.58637,0.89315,6.79203e-05,6.79203e-05,6.79203e-05
52,4419.41,0.57725,0.39079,0.92635,0.67439,0.84153,0.79495,0.59436,0.77272,0.58588,0.89593,5.54422e-05,5.54422e-05,5.54422e-05
53,4465.15,0.57367,0.38771,0.92392,0.69089,0.82483,0.79867,0.5972,0.77198,0.59293,0.89635,4.4184e-05,4.4184e-05,4.4184e-05
54,4510.79,0.57194,0.38655,0.92475,0.68431,0.82642,0.79546,0.59624,0.7692,0.58988,0.89398,3.41766e-05,3.41766e-05,3.41766e-05
55,4556.34,0.57093,0.38401,0.92336,0.68808,0.81919,0.79637,0.59014,0.76977,0.58883,0.8943,2.54473e-05,2.54473e-05,2.54473e-05
56,4602.08,0.56857,0.38231,0.92204,0.68112,0.8214,0.79646,0.59039,0.77005,0.58782,0.89548,1.802e-05,1.802e-05,1.802e-05
57,4647.65,0.56542,0.37934,0.91976,0.68039,0.81507,0.79528,0.59485,0.77003,0.58812,0.89611,1.19153e-05,1.19153e-05,1.19153e-05
58,4693.21,0.56532,0.38042,0.92075,0.677,0.82631,0.79416,0.59393,0.77165,0.59037,0.89764,7.14967e-06,7.14967e-06,7.14967e-06
59,4738.89,0.56463,0.37972,0.92047,0.67537,0.83224,0.79419,0.59393,0.77081,0.58894,0.89728,3.73631e-06,3.73631e-06,3.73631e-06
60,4784.53,0.56471,0.38019,0.92049,0.67651,0.83219,0.79454,0.59397,0.77083,0.58881,0.89742,1.68455e-06,1.68455e-06,1.68455e-06
